HAPPY,DISGUSTED,CALM ,SAD,FEAR,CONFUSED,SURPRISED,ANGRY,emotion
98 ,0,0,0,0,0,0,0,p
99 ,0,0,0,0,0,0,0,p
99 ,0,0,0,0,0,0,0,p
99 ,0,0,0,0,0,0,0,p
99 ,0,0,0,0,0,0,0,p
96 ,2 ,0,0,0,0,0,0,p
99 ,0,0,0,0,0,0,0,p
98 ,0,0,0,0,0,0,0,p
97 ,0,0,0,0,0,0,0,p
98 ,0,0,0,0,0,0,0,p
99 ,0,0,0,0,0,0,0,p
99 ,0,0,0,0,0,0,0,p
92 ,6 ,0,0,0,0,0,0,p
99 ,0,0,0,0,0,0,0,p
100 ,0,0,0,0,0,0,0,p
99 ,0,0,0,0,0,0,0,p
99 ,0,0,0,0,0,0,0,p
100 ,0,0,0,0,0,0,0,p
100 ,0,0,0,0,0,0,0,p
100 ,0,0,0,0,0,0,0,p
100 ,0,0,0,0,0,0,0,p
100 ,0,0,0,0,0,0,0,p
100 ,0,0,0,0,0,0,0,p
0,21 ,56 ,6 ,0,0,0,6 ,z
0,28 ,41 ,0,0,0,0,9 ,z
0,8 ,31 ,8 ,0,0,0,45 ,z
3 ,78 ,14 ,0,0,0,0,0,z
22 ,36 ,28 ,0,0,0,0,0,z
44 ,28 ,19 ,0,0,0,0,0,z
1 ,97 ,0,0,0,0,0,0,z
5 ,90 ,2 ,0,0,0,0,0,z
0,93 ,1 ,0,0,0,0,1 ,z
0,45 ,26 ,0,0,0,0,10 ,z
0,79 ,7 ,0,0,0,0,7 ,z
0,37 ,13 ,0,0,0,0,37 ,z
0,0,45 ,9 ,0,0,0,25 ,z
0,7 ,11 ,0,0,0,0,70 ,z
0,18 ,10 ,0,0,0,0,54 ,z
0,15 ,14 ,0,0,0,0,55 ,z
0,14 ,13 ,0,0,0,0,50 ,z
0,92 ,0,0,0,0,0,3 ,n
0,86 ,0,0,0,0,0,5 ,n
0,61 ,0,0,0,0,0,12 ,n
0,52 ,0,0,0,0,0,16 ,n
0,69 ,0,0,0,0,0,10 ,n
0,72 ,0,0,0,0,0,9 ,n
0,51 ,0,0,0,0,0,16 ,n
0,54 ,0,0,0,0,0,13 ,n
0,61 ,0,0,0,0,0,21 ,n
0,57 ,0,0,0,0,0,20 ,n
0,65 ,0,0,0,0,0,11 ,n
0,80 ,0,0,0,0,0,8 ,n
0,79 ,0,0,0,0,0,13 ,n
0,75 ,0,0,0,0,0,14 ,n
0,66 ,0,0,0,0,0,20 ,n
0,82 ,0,0,0,0,0,8 ,n
0,80 ,0,0,0,0,0,12 ,n
0,77 ,0,0,0,0,0,12 ,n
0,68 ,0,0,0,0,0,19 ,n
0,70 ,0,0,0,0,0,16 ,n
0,69 ,0,0,0,0,0,17 ,n
